name,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
withlovel_,https://www.tiktok.com/@withlovel_,2100000.0,4000000.0,1900000.0,17500.0,52500.0,1200000.0,169100.0,93000.0,110900.0,24000.0
xiaohongshugirlies,https://www.tiktok.com/@xiaohongshugirlies,3400000.0,4500000.0,5300000.0,37100.0,49800.0,671000.0,65500.0,44500.0,75700.0,101500.0
free2ia,https://www.tiktok.com/@free2ia,594500.0,5903.0,28900.0,4576.0,58100.0,35100.0,65500.0,18400.0,16500.0,8770.0
xiaohongshugirlies,https://www.tiktok.com/@xiaohongshugirlies,3400000.0,4500000.0,5300000.0,37100.0,49800.0,671000.0,65500.0,44500.0,75700.0,101500.0
sylvia.geng,https://www.tiktok.com/@sylvia.geng,70300000.0,11400000.0,8957.0,43900.0,66400.0,15800.0,57400.0,61700.0,116700.0,226200.0
arinademayast,https://www.tiktok.com/@arinademayast,62500.0,5800000.0,4300000.0,60800.0,12000.0,237000.0,47400.0,192000.0,32600.0,594500.0
nuvoleah,https://www.tiktok.com/@nuvoleah,647500.0,1600000.0,314400.0,31900.0,239600.0,24100.0,72900.0,43600.0,33600.0,386100.0
camy.hati,https://www.tiktok.com/@camy.hati,23200000.0,3600000.0,2951.0,3838.0,170200.0,74400.0,23500.0,42000.0,18000.0,56400.0
papipapipopapipo,https://www.tiktok.com/@papipapipopapipo,5224.0,2100000.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rose.friederike,https://www.tiktok.com/@rose.friederike,245400.0,20200.0,96800.0,45200.0,31000.0,46700.0,36000.0,214700.0,1300000.0,6700000.0
frozencollagen.owner,https://www.tiktok.com/@frozencollagen.owner,316.0,504.0,201.0,452.0,698.0,271.0,498.0,537.0,551.0,576.0
its_selfcareee,https://www.tiktok.com/@its_selfcareee,4600000.0,27300.0,50000.0,133500.0,41600.0,147300.0,654000.0,109300.0,513200.0,1200000.0
narjisseglow,https://www.tiktok.com/@narjisseglow,3000000.0,4884.0,9792.0,1700000.0,49100.0,13400.0,10600.0,13500.0,80300.0,10100.0
vanessafaga,https://www.tiktok.com/@vanessafaga,4700000.0,4600000.0,3900000.0,56000.0,55900.0,224500.0,2600000.0,98400.0,57400.0,335000.0
eggoseddits,https://www.tiktok.com/@eggoseddits,1200000.0,11700000.0,320.0,624.0,143.0,593.0,388.0,772.0,635.0,905.0
jasminnlily_,https://www.tiktok.com/@jasminnlily_,10500000.0,27500.0,175100.0,83300.0,705100.0,148400.0,71400.0,3200000.0,290500.0,105600.0
abigailmarpi,https://www.tiktok.com/@abigailmarpi,8366.0,45800.0,51500.0,34700.0,51700.0,28400.0,63000.0,13300.0,30700.0,32400.0
amyflamy1,https://www.tiktok.com/@amyflamy1,20300000.0,32000000.0,46500000.0,256900.0,327200.0,1000000.0,4700000.0,740100.0,698700.0,1200000.0
vanessafaga,https://www.tiktok.com/@vanessafaga,4700000.0,4600000.0,3900000.0,56000.0,55900.0,224500.0,2600000.0,98400.0,57400.0,335000.0
princessmonkeyyy,https://www.tiktok.com/@princessmonkeyyy,2400000.0,3600000.0,7100000.0,185500.0,40500.0,16300.0,530800.0,152100.0,619800.0,43900.0
moonycake_,https://www.tiktok.com/@moonycake_,2200000.0,1600000.0,7100000.0,5659.0,5774.0,9104.0,4403.0,11000.0,32700.0,3877.0
xiaohongshugirlies,https://www.tiktok.com/@xiaohongshugirlies,3400000.0,4500000.0,5300000.0,37100.0,49800.0,671100.0,65500.0,44500.0,75700.0,101500.0
omega.scenes,https://www.tiktok.com/@omega.scenes,2300000.0,1090.0,31000.0,1700000.0,1000.0,1329.0,1684.0,1572.0,2578.0,1415.0
danicolexx,https://www.tiktok.com/@danicolexx,23400000.0,12700000.0,19700000.0,45300.0,78200.0,335900.0,2800000.0,76000.0,332500.0,20400.0
vanessafaga,https://www.tiktok.com/@vanessafaga,4700000.0,4600000.0,3900000.0,56100.0,55900.0,224500.0,2600000.0,98400.0,57400.0,335000.0
_sa.dailys,https://www.tiktok.com/@_sa.dailys,7920.0,19300.0,2140.0,6612.0,9463.0,3602.0,6854.0,52800.0,3368.0,9392.0
danicolexx,https://www.tiktok.com/@danicolexx,23400000.0,12700000.0,19700000.0,45400.0,78200.0,336000.0,2800000.0,76000.0,332500.0,20400.0
katarina_bluu47,https://www.tiktok.com/@katarina_bluu47,896.0,3455.0,7537.0,206500.0,3845.0,5211.0,7900000.0,207100.0,12500.0,10000.0
lovely.klo,https://www.tiktok.com/@lovely.klo,,,,,,,,,,
olafflee,https://www.tiktok.com/@olafflee,,,,,,,,,,
julieebaby6,https://www.tiktok.com/@julieebaby6,,,,,,,,,,
vanessafaga,https://www.tiktok.com/@vanessafaga,,,,,,,,,,
