username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
ms.tsung.official,https://www.tiktok.com/@ms.tsung.official,0,31000,11000,21600,20100,35700,98100,5880,3937,27600
gyuree_k,https://www.tiktok.com/@gyuree_k,734800,227500,138,167,3296,1375,1750,1915,3756,2725
freeform,https://www.tiktok.com/@freeform,4311,17000,740600,3015,6797,523500,117900,365500,56500,1300000
_angelomarasigan,https://www.tiktok.com/@_angelomarasigan,12800000,5200000,5100000,6000000,3400000,3100000,24700000,6800000,898300,4000000
joolieannie,https://www.tiktok.com/@joolieannie,55000000,34000,17000,9965,5956,16000,57300,57500,24400,24800
englishbygiovana,https://www.tiktok.com/@englishbygiovana,929500,638000,38000,61300,44700,414800,732000,339600,247800,1100000
loveyoumariemuch,https://www.tiktok.com/@loveyoumariemuch,6246,8301,3162,2441,22500,25900,9271,22600,10100,32000
igotstinkyfeet,https://www.tiktok.com/@igotstinkyfeet,1000000,862600,686400,2500000,724800,2300000,834900,499700,519800,404300
thestalkerseg,https://www.tiktok.com/@thestalkerseg,651000,214,2926,30600,123500,13200,12200,1850,9427,92700
jane62633,https://www.tiktok.com/@jane62633,1121,301,2900000,1107,0,0,0,0,0,0
whoisprom,https://www.tiktok.com/@whoisprom,2400000,326900,968400,24400,40200,9878,129400,9210,283500,4128
ravethecrave,https://www.tiktok.com/@ravethecrave,9500000,11300000,219900,65800,586700,487500,96200,96500,105400,120800
yagirlgabby_,https://www.tiktok.com/@yagirlgabby_,1600000,16900000,6100000,2673,1964,1985,1149,2314,2402,2483
alriyadh.trend,https://www.tiktok.com/@alriyadh.trend,4600000,113400,3400000,58600,181600,100400,90100,111900,107500,123000
sissysisc,https://www.tiktok.com/@sissysisc,111800,24600,165700,11700,3242,11600,234700,241900,40200,148300
momshieshopping,https://www.tiktok.com/@momshieshopping,965,149300,22500,212,391,480,643,725,875,1773
mrliamstapleton,https://www.tiktok.com/@mrliamstapleton,12600000,8900000,8400000,254200,4200000,425400,699500,237500,375900,113200
barefootshoeguide,https://www.tiktok.com/@barefootshoeguide,3300000,11200000,65700,75500,2492,3538,44500,28300,2249,4296
fabulatehq,https://www.tiktok.com/@fabulatehq,156200,28100,16300,2128,1966,6054,8015,4898,7266,908
capekcakep,https://www.tiktok.com/@capekcakep,0,461,15400,918,1521,1243,692,11700,2652,5437
kaplaninternational,https://www.tiktok.com/@kaplaninternational,3400000,34300,177500,782,1807,1678,1754,1474,1520,2072
timouni_,https://www.tiktok.com/@timouni_,2267,2301,2339,991,1715,26000,4205,2579,215000,2842
engnika_,https://www.tiktok.com/@engnika_,4337,126100,15700,1274,901,2768,36300,1513,727,1235
