username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
ms.tsung.official,https://www.tiktok.com/@ms.tsung.official,0,0,0,0,0,0,0,0,0,0
gyuree_k,https://www.tiktok.com/@gyuree_k,0,0,0,0,0,0,0,0,0,0
freeform,https://www.tiktok.com/@freeform,0,0,0,0,0,0,0,0,0,0
_angelomarasigan,https://www.tiktok.com/@_angelomarasigan,0,0,0,0,0,0,0,0,0,0
joolieannie,https://www.tiktok.com/@joolieannie,0,0,0,0,0,0,0,0,0,0
englishbygiovana,https://www.tiktok.com/@englishbygiovana,0,0,0,0,0,0,0,0,0,0
loveyoumariemuch,https://www.tiktok.com/@loveyoumariemuch,0,0,0,0,0,0,0,0,0,0
igotstinkyfeet,https://www.tiktok.com/@igotstinkyfeet,0,0,0,0,0,0,0,0,0,0
thestalkerseg,https://www.tiktok.com/@thestalkerseg,0,0,0,0,0,0,0,0,0,0
jane62633,https://www.tiktok.com/@jane62633,0,0,0,0,0,0,0,0,0,0
whoisprom,https://www.tiktok.com/@whoisprom,0,0,0,0,0,0,0,0,0,0
ravethecrave,https://www.tiktok.com/@ravethecrave,0,0,0,0,0,0,0,0,0,0
yagirlgabby_,https://www.tiktok.com/@yagirlgabby_,0,0,0,0,0,0,0,0,0,0
alriyadh.trend,https://www.tiktok.com/@alriyadh.trend,0,0,0,0,0,0,0,0,0,0
sissysisc,https://www.tiktok.com/@sissysisc,0,0,0,0,0,0,0,0,0,0
momshieshopping,https://www.tiktok.com/@momshieshopping,0,0,0,0,0,0,0,0,0,0
mrliamstapleton,https://www.tiktok.com/@mrliamstapleton,0,0,0,0,0,0,0,0,0,0
barefootshoeguide,https://www.tiktok.com/@barefootshoeguide,0,0,0,0,0,0,0,0,0,0
fabulatehq,https://www.tiktok.com/@fabulatehq,0,0,0,0,0,0,0,0,0,0
capekcakep,https://www.tiktok.com/@capekcakep,0,0,0,0,0,0,0,0,0,0
kaplaninternational,https://www.tiktok.com/@kaplaninternational,0,0,0,0,0,0,0,0,0,0
timouni_,https://www.tiktok.com/@timouni_,0,0,0,0,0,0,0,0,0,0
engnika_,https://www.tiktok.com/@engnika_,0,0,0,0,0,0,0,0,0,0
mikuosushi,https://www.tiktok.com/@mikuosushi,0,0,0,0,0,0,0,0,0,0
